success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo retries
1 21 21 62.4 63 2065383 100.256 1.1057 2283693 2280000 2184487 1 1 1
1 21 21 63.3 64 2102039 100.441 1.1057 2324224 2320000 2193067 0 1 1
1 21 21 65 65 2138817 100.626 1.1057 2364889 2360000 2231282 0 1 1
1 21 21 65.3 66 2175715 100.811 1.1057 2405688 2400000 2269587 0 1 1
1 21 21 66.2 67 2212734 100.996 1.1057 2446619 2440000 2355499 2 1 1
1 21 21 67.1 68 2249874 101.181 1.1057 2487685 2480000 2346465 0 1 1
1 21 21 68.4 69 2287135 101.366 1.1057 2528885 2520000 2416921 1 1 1
0 21 21 69.2 70 2324518 101.551 1.1057 2570219 2570000 2535528 1 0 1
1 21 21 70.7 71 2362021 101.736 1.1057 2611686 2610000 2517272 2 1 1
1 21 21 71.2 72 2399645 101.921 1.1057 2653287 2650000 2556532 2 1 1
1 21 21 72.4 73 2437391 102.106 1.1057 2695023 2690000 2595855 2 1 1
1 21 21 73.9 74 2475257 102.291 1.1057 2736891 2730000 2635233 2 1 1
1 21 21 75 75 2513244 102.476 1.1057 2778893 2770000 2621060 0 1 1
1 21 21 75.4 76 2551352 102.661 1.1057 2821029 2820000 2662927 0 1 1
1 21 21 76.3 77 2589582 102.846 1.1057 2863300 2860000 2759019 2 1 1
1 21 21 77.2 78 2627932 103.031 1.1057 2905704 2900000 2779035 1 1 1
1 21 21 78.2 79 2666403 103.216 1.1057 2948241 2940000 2818640 1 1 1
1 21 21 79.9 80 2704996 103.401 1.1057 2990914 2990000 2823340 0 1 1
1 21 21 80.7 81 2743709 103.587 1.1057 3033719 3030000 2902451 1 1 1
1 21 21 81.8 82 2782544 103.772 1.1057 3076658 3070000 2902762 0 1 1
1 21 21 82.9 83 2821499 103.957 1.1057 3119731 3110000 3002859 2 1 1
1 21 21 83.8 84 2860575 104.142 1.1057 3162937 3160000 2985200 0 1 1
1 21 21 84.4 85 2899773 104.327 1.1057 3206279 3200000 3088137 2 1 1
1 21 21 85.3 86 2939091 104.512 1.1057 3249752 3240000 3128213 2 1 1
1 21 21 86.6 87 2978531 104.697 1.1057 3293361 3290000 3151154 1 1 1
1 21 21 87.4 88 3018091 104.882 1.1057 3337103 3330000 3148515 0 1 1
0 21 21 88.4 89 3057772 105.067 1.1057 3380978 3380000 3334775 1 0 1
1 21 21 89.2 90 3097575 105.252 1.1057 3424988 3420000 3299700 2 1 1
1 21 21 90.8 91 3137498 105.437 1.1057 3469131 3460000 3340065 2 1 1
1 21 21 91.6 92 3177543 105.622 1.1057 3513409 3510000 3385792 2 1 1
1 21 21 92.9 93 3217708 105.807 1.1057 3557819 3550000 3356692 0 1 1
1 21 21 94 94 3257995 105.992 1.1057 3602365 3600000 3400197 0 1 1
1 21 21 94.4 95 3298402 106.177 1.1057 3647043 3640000 3512714 2 1 1
1 21 21 95.1 96 3338931 106.362 1.1057 3691856 3690000 3484815 0 1 1
1 21 21 97 97 3379580 106.547 1.1057 3736801 3730000 3599387 2 1 1
1 21 21 97.8 98 3420351 106.732 1.1057 3781882 3780000 3645459 2 1 1
1 21 21 98.6 99 3461242 106.917 1.1057 3827095 3820000 3611095 0 1 1
1 21 21 100 100 3502255 107.102 1.1057 3872443 3870000 3655142 0 1 1
1 22 20 0.7 1 29006 88.703 1.1007 31926 31900 30642 1 1 1
1 22 20 1.2 2 58138 88.896 1.1007 63992 63900 60632 0 1 1
1 22 20 2.4 3 87397 89.089 1.1007 96197 96100 92325 1 1 1
1 22 20 3.5 4 116783 89.283 1.1007 128543 128000 123185 1 1 1
1 22 20 4.4 5 146295 89.477 1.1007 161026 161000 152627 0 1 1
1 22 20 5.2 6 175934 89.67 1.1007 193650 193000 186843 2 1 1
1 22 20 6.3 7 205700 89.864 1.1007 226413 226000 214505 0 1 1
1 22 20 7.8 8 235592 90.058 1.1007 259316 259000 248852 1 1 1
1 22 20 8.7 9 265611 90.251 1.1007 292358 292000 282413 2 1 1
1 22 20 9.7 10 295757 90.445 1.1007 325539 325000 314389 2 1 1
1 22 20 10.3 11 326029 90.639 1.1007 358860 358000 344193 1 1 1
1 22 20 11.9 12 356428 90.832 1.1007 392320 392000 379059 2 1 1
1 22 20 12.6 13 386953 91.026 1.1007 425919 425000 411219 2 1 1
1 22 20 13.1 14 417605 91.219 1.1007 459657 459000 443971 2 1 1
1 22 20 14.4 15 448384 91.413 1.1007 493536 493000 467672 0 1 1
1 22 20 15.1 16 479289 91.607 1.1007 527553 527000 506306 1 1 1
1 22 20 16.8 17 510321 91.8 1.1007 561710 561000 542588 2 1 1
1 22 20 17.4 18 541480 91.994 1.1007 596007 596000 576116 2 1 1
1 22 20 18.7 19 572766 92.188 1.1007 630443 630000 605147 1 1 1
1 22 20 19.4 20 604177 92.381 1.1007 665017 665000 642818 2 1 1
1 22 21 20.3 21 635813 92.576 1.1057 703018 703000 673365 1 1 1
1 22 21 21.3 22 667381 92.769 1.1057 737923 737000 706401 1 1 1
1 22 21 22.2 23 699173 92.962 1.1057 773075 773000 740443 1 1 1
1 22 21 23.6 24 731092 93.156 1.1057 808368 808000 763650 0 1 1
1 22 21 24.6 25 763137 93.35 1.1057 843800 843000 797012 0 1 1
1 22 21 25.3 26 795309 93.543 1.1057 879373 879000 842128 1 1 1
1 22 21 27 27 827607 93.737 1.1057 915085 915000 864552 0 1 1
1 22 21 27.3 28 860033 93.931 1.1057 950938 950000 910428 1 1 1
1 22 21 28.4 29 892584 94.124 1.1057 986930 986000 932207 0 1 1
1 22 21 29.7 30 925263 94.318 1.1057 1023063 1020000 978576 1 1 1
1 22 21 30.5 31 958068 94.511 1.1057 1059335 1050000 1016945 2 1 1
1 22 21 32 32 990999 94.705 1.1057 1095747 1090000 1033732 0 1 1
1 22 22 32.2 33 1024058 94.899 1.1107 1137421 1130000 1091064 2 1 1
1 22 22 33.4 34 1057243 95.092 1.1107 1174279 1170000 1128212 2 1 1
1 22 22 34.9 35 1090554 95.286 1.1107 1211278 1210000 1140380 0 1 1
1 22 22 35.7 36 1123993 95.48 1.1107 1248419 1240000 1197392 2 1 1
1 22 22 36.9 37 1157558 95.673 1.1107 1285699 1280000 1225979 1 1 1
1 22 22 37.1 38 1191352 95.868 1.1107 1323234 1320000 1262927 1 1 1
1 22 22 38.8 39 1225067 96.061 1.1107 1360681 1360000 1281240 0 1 1
1 22 22 39.9 40 1259012 96.254 1.1107 1398384 1390000 1314692 0 1 1
1 22 22 40.5 41 1293188 96.448 1.1107 1436343 1430000 1379410 2 1 1
1 22 22 41.1 42 1327282 96.642 1.1107 1474212 1470000 1387217 0 1 1
1 22 22 42.4 43 1361607 96.835 1.1107 1512336 1510000 1454691 2 1 1
1 22 22 43.5 44 1396058 97.029 1.1107 1550601 1550000 1492450 2 1 1
1 22 22 44.1 45 1430636 97.222 1.1107 1589007 1580000 1514333 1 1 1
1 22 22 45.3 46 1465341 97.416 1.1107 1627554 1620000 1551806 1 1 1
1 22 22 47 47 1500172 97.61 1.1107 1666241 1660000 1567517 0 1 1
1 22 22 47.7 48 1535130 97.803 1.1107 1705068 1700000 1638787 2 1 1
1 22 22 48.3 49 1570215 97.997 1.1107 1744037 1740000 1641372 0 1 1
1 22 22 49.6 50 1605426 98.191 1.1107 1783146 1780000 1702410 1 1 1
1 22 22 50.4 51 1640764 98.384 1.1107 1822396 1820000 1740244 1 1 1
1 22 22 51.9 52 1676229 98.578 1.1107 1861787 1860000 1791401 2 1 1
1 22 23 52.6 52 1711820 98.772 1.1157 1909877 1900000 1790215 0 1 1
1 22 22 53.9 54 1747538 98.965 1.1107 1940990 1940000 1827665 0 1 1
1 22 22 55 55 1783382 99.159 1.1107 1980802 1980000 1865205 0 1 1
1 22 22 55.7 56 1819353 99.353 1.1107 2020755 2020000 1944986 2 1 1
1 22 22 56.6 57 1855451 99.546 1.1107 2060849 2060000 1983536 2 1 1
1 22 22 57.8 58 1891676 99.74 1.1107 2101084 2100000 1978407 0 1 1
1 22 23 58.2 58 1928027 99.934 1.1157 2151099 2150000 1978407 0 0 1
1 22 22 59.8 60 1964504 100.127 1.1107 2181974 2180000 2054347 0 1 1
1 22 22 60.5 61 2001109 100.321 1.1107 2222631 2220000 2138338 2 1 1
1 22 22 61.9 62 2037840 100.514 1.1107 2263428 2260000 2161197 1 1 1
1 22 22 62.6 63 2074697 100.708 1.1107 2304365 2300000 2216106 2 1 1
1 22 22 63.4 64 2111682 100.902 1.1107 2345445 2340000 2238676 1 1 1
1 22 22 64.5 65 2148793 101.095 1.1107 2386664 2380000 2277527 1 1 1
1 22 22 65.3 66 2186030 101.289 1.1107 2428023 2420000 2316448 1 1 1
1 22 22 66.7 67 2223394 101.483 1.1107 2469523 2460000 2355442 1 1 1
1 22 22 67.4 68 2260885 101.676 1.1107 2511164 2510000 2364577 0 1 1
1 22 22 68.4 69 2298503 101.87 1.1107 2552947 2550000 2456166 2 1 1
1 22 22 70 70 2336247 102.064 1.1107 2594869 2590000 2495507 2 1 1
1 22 22 70.6 71 2374118 102.257 1.1107 2636932 2630000 2516538 1 1 1
1 22 22 71.7 72 2412115 102.451 1.1107 2679136 2670000 2520640 0 1 1
1 22 22 72.1 73 2450239 102.645 1.1107 2721480 2720000 2562560 0 1 1
1 22 22 73.3 74 2488490 102.838 1.1107 2763965 2760000 2658774 2 1 1
1 22 22 74.6 75 2526867 103.032 1.1107 2806591 2800000 2698419 2 1 1
1 22 22 75.5 76 2565371 103.225 1.1107 2849357 2840000 2738124 2 1 1
1 22 22 76.7 77 2604002 103.419 1.1107 2892265 2890000 2783192 2 1 1
1 22 22 77.6 78 2642759 103.613 1.1107 2935312 2930000 2762915 0 1 1
1 22 22 78.6 79 2681643 103.806 1.1107 2978500 2970000 2862905 2 1 1
1 22 22 79.9 80 2720654 104 1.1107 3021830 3020000 2908155 2 1 1
1 22 22 81 81 2759791 104.194 1.1107 3065299 3060000 2948164 2 1 1
1 22 22 81.7 82 2799055 104.387 1.1107 3108910 3100000 2988232 2 1 1
1 22 22 82.6 83 2838445 104.581 1.1107 3152660 3150000 3033665 2 1 1
1 22 22 83.6 84 2877962 104.775 1.1107 3196552 3190000 3073856 2 1 1
1 22 22 84.5 85 2917606 104.968 1.1107 3240584 3240000 3096119 1 1 1
1 22 22 85.3 86 2957377 105.162 1.1107 3284758 3280000 3159724 2 1 1
1 22 22 86.9 87 2997274 105.356 1.1107 3329072 3320000 3132735 0 1 1
1 22 22 88 88 3037297 105.549 1.1107 3373525 3370000 3221850 1 1 1
1 22 22 89 89 3077448 105.743 1.1107 3418121 3410000 3286327 2 1 1
1 22 22 89.2 90 3117725 105.936 1.1107 3462857 3460000 3260385 0 1 1
1 22 22 90.5 91 3158128 106.13 1.1107 3507732 3500000 3301345 0 1 1
1 22 22 91.5 92 3198659 106.324 1.1107 3552750 3550000 3393441 1 1 1
1 22 22 92.5 93 3239316 106.517 1.1107 3597908 3590000 3459524 2 1 1
1 22 22 93.4 94 3280099 106.711 1.1107 3643205 3640000 3479669 1 1 1
1 22 22 94.4 95 3321009 106.905 1.1107 3688644 3680000 3546487 2 1 1
1 22 22 95.2 96 3362046 107.098 1.1107 3734224 3730000 3515580 0 1 1
1 22 22 96.8 97 3403210 107.292 1.1107 3779945 3770000 3633691 2 1 1
1 22 22 97.6 98 3444500 107.486 1.1107 3825806 3820000 3601405 0 1 1
1 22 22 98.5 99 3485917 107.679 1.1107 3871808 3870000 3645792 0 1 1
1 22 22 100 100 3527460 107.873 1.1107 3917949 3910000 3687610 0 1 1
1 23 20 0.5 1 28979 88.62 1.1007 31897 31800 30232 0 1 1
1 23 20 1.3 2 58090 88.822 1.1007 63939 63900 61813 2 1 1
1 23 20 2.2 3 87334 89.025 1.1007 96128 96100 92344 1 1 1
1 23 20 3.5 4 116710 89.227 1.1007 128462 128000 123215 1 1 1
1 23 20 4.2 5 146218 89.429 1.1007 160942 160000 155148 2 1 1
1 23 20 5.1 6 175858 89.632 1.1007 193566 193000 183472 0 1 1
1 23 20 6.9 7 205630 89.833 1.1007 226336 226000 217305 1 1 1
1 23 20 7.7 8 235535 90.036 1.1007 259253 259000 250588 2 1 1
1 23 20 8.4 9 265572 90.238 1.1007 292315 292000 277215 0 1 1
1 23 20 9.1 10 295742 90.44 1.1007 325523 325000 314536 2 1 1
1 23 20 10.7 11 326043 90.643 1.1007 358875 358000 344404 1 1 1
1 23 20 11.2 12 356477 90.845 1.1007 392374 392000 372120 0 1 1
1 23 20 12.8 13 387043 91.047 1.1007 426018 426000 409288 1 1 1
1 23 20 13.6 14 417742 91.249 1.1007 459808 459000 441404 1 1 1
1 23 20 14.4 15 448572 91.451 1.1007 493743 493000 468182 0 1 1
1 23 20 15.3 16 479535 91.654 1.1007 527824 527000 506743 1 1 1
1 23 20 16.5 17 510631 91.856 1.1007 562051 562000 543530 2 1 1
1 23 21 17.7 18 541858 92.058 1.1057 599132 599000 574149 1 1 1
1 23 21 18.8 19 573218 92.261 1.1057 633807 633000 607081 1 1 1
1 23 21 20 20 604710 92.463 1.1057 668627 668000 632055 0 1 1
1 23 21 20.5 21 636334 92.665 1.1057 703594 703000 678741 2 1 1
1 23 22 21.6 22 668091 92.867 1.1107 742048 742000 699367 0 1 1
1 23 22 22.3 23 699979 93.069 1.1107 777466 777000 732637 0 1 1
1 23 22 23.8 24 732001 93.272 1.1107 813033 813000 783073 2 1 1
1 23 22 24.7 25 764154 93.474 1.1107 848745 848000 817092 2 1 1
1 23 22 26 26 796439 93.676 1.1107 884604 884000 845470 1 1 1
1 23 22 26.4 27 828857 93.878 1.1107 920611 920000 886380 2 1 1
1 23 22 27.2 28 861407 94.081 1.1107 956764 956000 914390 1 1 1
1 23 22 28.9 29 894090 94.283 1.1107 993065 993000 956456 2 1 1
1 23 22 30 30 926904 94.485 1.1107 1029512 1020000 986547 2 1 1
1 23 22 30.3 31 959851 94.687 1.1107 1066106 1060000 1023602 2 1 1
1 23 22 31.3 32 992931 94.89 1.1107 1102848 1100000 1038675 0 1 1
1 23 22 32.8 33 1026142 95.092 1.1107 1139735 1130000 1071600 0 1 1
1 23 23 33.9 34 1059486 95.294 1.1157 1182068 1180000 1135144 2 1 1
1 23 23 34.7 35 1092962 95.496 1.1157 1219417 1210000 1167145 2 1 1
