product success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo
equ 1 20 20 53.7 53 1723630 98.162 1.102 1896510 1890000 1806269 1 1
ore 1 40 40 54.9 54 534078 29.75 1.208 644365 644000 568256 0 1
org 1 30 30 54.9 54 1022776 56.972 1.154 1178749 1170000 1069089 0 1
equ 1 20 20 54.9 54 1766014 98.374 1.102 1943145 1940000 1851964 1 1
ore 1 40 40 55.5 55 540953 29.807 1.208 652659 652000 607388 2 1
org 1 30 30 55.5 55 1035525 57.06 1.154 1193442 1190000 1083101 0 1
equ 1 20 20 55.5 55 1787322 98.48 1.102 1966590 1960000 1839871 0 1
ore 1 40 40 56.7 56 554771 29.922 1.208 669331 669000 611753 1 1
org 1 30 30 56.7 56 1061127 57.234 1.154 1222948 1220000 1109954 0 1
equ 1 20 20 56.7 56 1829738 98.691 1.102 2013260 2010000 1918785 1 1
ore 1 40 40 57.3 57 561750 29.98 1.208 677751 677000 597647 0 1
org 1 30 30 57.3 57 1074044 57.322 1.154 1237835 1230000 1122849 0 1
equ 1 20 20 57.3 57 1851172 98.797 1.102 2036844 2030000 1957984 2 1
ore 1 40 40 58.1 58 571030 30.057 1.208 688947 688000 607495 0 1
org 1 30 30 58.1 58 1091212 57.438 1.154 1257621 1250000 1186565 2 1
equ 1 20 20 58.1 58 1879633 98.938 1.102 2068160 2060000 1969370 1 1
ore 1 40 40 59.6 59 588598 30.201 1.208 710143 710000 626300 0 1
org 1 30 30 59.6 59 1123672 57.656 1.154 1295031 1290000 1175136 0 1
equ 1 20 20 59.6 59 1933374 99.203 1.102 2127291 2120000 1990196 0 1
ore 1 40 40 60.9 60 603918 30.326 1.208 728627 728000 665849 1 1
org 1 30 30 60.9 60 1151942 57.845 1.154 1327613 1320000 1252817 2 1
equ 1 20 20 60.9 60 1980101 99.432 1.102 2178705 2170000 2093678 2 1
ore 1 40 40 61.7 61 613379 30.402 1.208 740041 740000 689059 2 1
org 1 30 30 61.7 61 1169382 57.961 1.154 1347712 1340000 1222622 0 1
equ 1 20 20 61.7 61 2008893 99.573 1.102 2210384 2210000 2128252 2 1
ore 1 40 40 62.8 62 626495 30.508 1.208 755866 755000 666527 0 1
org 1 30 30 62.8 62 1193538 58.122 1.154 1375552 1370000 1248173 0 1
equ 1 20 20 62.8 62 2048728 99.767 1.102 2254215 2250000 2148227 1 1
ore 1 40 40 63.3 63 632495 30.556 1.208 763105 763000 697561 1 1
org 1 30 30 63.3 63 1204580 58.195 1.154 1388278 1380000 1259382 0 1
equ 1 20 20 63.3 63 2066921 99.856 1.102 2274233 2270000 2187852 2 1
ore 1 40 40 64.4 64 645684 30.662 1.208 779017 779000 687059 0 1
org 1 30 30 64.4 64 1228836 58.354 1.154 1416233 1410000 1319340 1 1
equ 1 20 20 64.4 64 2106847 100.049 1.102 2318163 2310000 2207786 1 1
ore 1 40 40 65.3 65 656578 30.748 1.208 792161 792000 698631 0 1
org 1 30 30 65.3 65 1248854 58.486 1.154 1439304 1430000 1357697 2 1
equ 1 20 20 65.3 65 2139760 100.208 1.102 2354377 2350000 2243693 1 1
ore 1 40 40 66.8 66 674788 30.892 1.208 814131 814000 744196 1 1
org 1 30 30 66.8 66 1282274 58.704 1.154 1477820 1470000 1376233 1 1
equ 1 20 20 66.8 66 2194636 100.473 1.102 2414757 2410000 2259553 0 1
ore 1 40 40 67.2 67 679680 30.931 1.208 820033 820000 723232 0 1
